Year	Region	Farmer	FlowerStrip	Transect	PlantSp	Ploidy	Fieldsize	Flowers	zFlowers	plCROP1km	rounds	logrounds	Bumblebees	longt	shortt	Honeybees	Stripplants_m2
2009	E	1	Y	interior	tripra	4n	8	1.5	-30.175	0.352945772	1	0	2	0	2	0	67
2009	E	1	Y	edge	tripra	4n	8	5.5	-26.175	0.352945772	1	0	0	0	0	0	67
2009	E	1	Y	strip	phatan	4n	8	10.5	-9.0192308	0.352945772	1	0	5	0	4	1	67
2009	E	6	Y	interior	tripra	2n	8	21	-6.6125	0.169844362	1	0	2	0	2	2	148
2009	E	6	Y	edge	tripra	2n	8	18.5	-9.1125	0.169844362	1	0	3	0	3	0	148
2009	E	6	Y	strip	phatan	2n	8	29.75	5.7777778	0.169844362	1	0	19	1	10	92	148
2009	E	7	Y	interior	tripra	2n	15	12.25	-15.3625	0.756937791	1	0	1	0	1	1	105
2009	E	7	Y	edge	tripra	2n	15	8	-19.6125	0.756937791	1	0	2	1	1	1	105
2009	E	7	Y	strip	phatan	2n	15	26.25	2.2777778	0.756937791	1	0	27	0	27	83	105
2009	E	14	Y	interior	tripra	2n	6	19.5	-8.1125	0.662098425	1	0	1	0	1	0	44
2009	E	14	Y	edge	tripra	2n	6	19.25	-8.3625	0.662098425	1	0	2	0	2	1	44
2009	E	14	Y	strip	phatan	2n	6	7.25	-16.7222222	0.662098425	1	0	20	0	20	8	44
2009	E	17	N	interior	tripra	4n	13	16.5	-15.175	0.636156026	1	0	4	0	4	4	NA
2009	E	17	N	edge	tripra	4n	13	56.75	25.075	0.636156026	1	0	4	0	4	9	NA
2009	E	19	N	interior	tripra	4n	8	50.25	18.575	0.278964017	1	0	4	0	4	0	NA
2009	E	19	N	edge	tripra	4n	8	57.5	25.825	0.278964017	1	0	4	2	2	0	NA
2009	E	20	N	interior	tripra	2n	6	8.25	-19.3625	0.428322956	1	0	5	1	4	0	NA
2009	E	20	N	edge	tripra	2n	6	16.25	-11.3625	0.428322956	1	0	2	0	1	1	NA
2009	E	21	N	interior	tripra	2n	24	7.5	-20.1125	0.398537795	1	0	0	0	0	0	NA
2009	E	21	N	edge	tripra	2n	24	6.75	-20.8625	0.398537795	1	0	2	1	0	0	NA
2009	E	23	N	interior	tripra	2n	9	16.5	-11.1125	0.384190898	1	0	3	0	3	0	NA
2009	E	23	N	edge	tripra	2n	9	7.25	-20.3625	0.384190898	1	0	0	0	0	0	NA
2009	E	24	N	interior	tripra	2n	11	1.75	-25.8625	0.657020196	1	0	1	0	1	0	NA
2009	E	24	N	edge	tripra	2n	11	1.5	-26.1125	0.657020196	1	0	1	1	0	0	NA
2009	M	2	N	interior	tripra	2n	10	53.25	25.6375	0.728431913	2	0.693147181	13	0	13	11	NA
